family_id,title,description,category_level_1,category_level_2,product_type,sport,available_colors,available_sizes,available_materials,available_features,price_min,price_max,primary_product_id,thumbnail_image,tags,search_text,available_fits
F000001,Glacial Fleece Jacket,"SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported",Apparel,Kids,Sportswear,Hiking,"[""Brown"", ""Maroon"", ""Grey"", ""Navy Blue""]","[""XXS"", ""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Fleece""]","[""Stretch""]",18.99,23.99,9895689453847,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AB6018-257_1.jpg?v=1743238851,"[""Columbia"", ""Fleece"", ""Hiking and Trekking"", ""Hiking Trekking"", ""Jackets and Vest"", ""Kids"", ""Kids Boys"", ""Columbia Sale"", ""Apparel"", ""Sportswear"", ""Hiking"", ""Stretch""]","Glacial Fleece Jacket

Brand: Columbia
Category: Apparel > Kids
Product Type: Sportswear
Sport: Hiking

SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported

Materials:
Fleece

Features:
Stretch

Tags:
Columbia
Fleece
Hiking and Trekking
Hiking Trekking
Jackets and Vest
Kids
Kids Boys
Columbia Sale
Apparel
Sportswear
Hiking
Stretch",[]
F000002,Tritan Co-Polyester Hydration Water Bottle,"MEASURES UP Track your hydration and meet your goals thanks to this 32-ounce water bottle with an easy-to-read capacity gauge, quick screw cap, and BPA-free plastic. Lid PP with Silicone Gasket External capacity gauge BPA Free Tritan Co-Polyester Imported",Accessories,Men's,Accessories,Hiking,"[""Blue"", ""Black"", ""Green"", ""Pink""]","[""OS"", ""750ml"", ""975 ml""]","[""Tritan Co-Polyester"", ""Plastic"", ""Silicone""]",[],17.99,23.99,9895689257239,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87324-437_1.jpg?v=1743238855,"[""Accessories"", ""Camping and Safari"", ""Hiking and Trekking"", ""Lifestyle Sportswear"", ""Men"", ""Water Bottle"", ""Water Sports"", ""Women"", ""27"", ""Men's"", ""Hiking"", ""Tritan Co-Polyester"", ""Plastic"", ""Silicone""]","Tritan Co-Polyester Hydration Water Bottle

Brand: Columbia
Category: Accessories > Men's
Product Type: Accessories
Sport: Hiking

MEASURES UP Track your hydration and meet your goals thanks to this 32-ounce water bottle with an easy-to-read capacity gauge, quick screw cap, and BPA-free plastic. Lid PP with Silicone Gasket External capacity gauge BPA Free Tritan Co-Polyester Imported

Materials:
Tritan Co-Polyester
Plastic
Silicone

Tags:
Accessories
Camping and Safari
Hiking and Trekking
Lifestyle Sportswear
Men
Water Bottle
Water Sports
Women
27
Men's
Hiking
Tritan Co-Polyester
Plastic
Silicone",[]
F000003,Carbon Trekking Pole,Use these carbon fiber trekking poles for extra stability on tough trails. They’re extendable to suit your height and collapsible to pack away.,,Men's,Equipment,Hiking,"[""Black""]","[""OS""]","[""Carbon Fiber""]",[],119.99,119.99,9895689388311,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87395-010_1.jpg?v=1743238853,"[""Equipment"", ""Hiking and Trekking"", ""Men"", ""Trekking pole"", ""Winter Sports"", ""Women"", ""Men's"", ""Hiking"", ""Carbon Fiber""]","Carbon Trekking Pole

Brand: Columbia
Category: Men's
Product Type: Equipment
Sport: Hiking

Use these carbon fiber trekking poles for extra stability on tough trails. They’re extendable to suit your height and collapsible to pack away.

Materials:
Carbon Fiber

Tags:
Equipment
Hiking and Trekking
Men
Trekking pole
Winter Sports
Women
Men's
Hiking
Carbon Fiber",[]
F000004,Omni-Shield 4P FRP Dome Tent,,Bags & Gear,Men's,Equipment,Hiking,"[""Blue""]","[""One Size""]",[],"[""Omni-Shield""]",203.99,203.99,9895689027863,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50052-486_1.jpg?v=1743238859,"[""Camping and Safari"", ""Equipment"", ""Hiking and Trekking"", ""Men"", ""Tent"", ""Women"", ""Bags & Gear"", ""Men's"", ""Hiking"", ""Omni-Shield""]","Omni-Shield 4P FRP Dome Tent

Brand: Columbia
Category: Bags & Gear > Men's
Product Type: Equipment
Sport: Hiking

Features:
Omni-Shield

Tags:
Camping and Safari
Equipment
Hiking and Trekking
Men
Tent
Women
Bags & Gear
Men's
Hiking
Omni-Shield",[]
F000005,Cascades Explorer Convertible Pant,"FROM PANT TO SHORT These pants are the ultimate versatile outdoor wear: With one zip, go from pants to shorts in no time. STAY DRY, STAY SHADED Made of nylon ripstop with advanced wicking fabric and UPF 50, these pants keep you cool and dry. UTILITY These durable pants (or shorts) are ready for your adventures with plenty of pockets for odds and ends. Omni-Wick Omni-Shade UPF 50 sun protection Partial elastic at waist Gusset detail Pockets with hook and loop closure Zip-closed security pocket Mesh pocket bags Converts to 10"" inseam shorts Uses: Hiking Imported",Apparel,Men's,Sportswear,Casual,"[""Beige"", ""Grey"", ""Blue""]","[""OS"", ""30"", ""32"", ""34"", ""36"", ""38"", ""40"", ""42""]","[""Nylon Ripstop"", ""Mesh""]","[""Convertible"", ""Sun Protection"", ""UPF 50"", ""Omni-Wick"", ""Omni-Shade""]",37.99,47.99,9895391363351,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AM1572-160_2_492d48ea-5b49-4ab5-8c6f-9dca93c2f730.jpg?v=1743238883,"[""Casual Lifestyle"", ""Columbia"", ""Men"", ""Pants"", ""Pants and Shorts"", ""Columbia Sale"", ""Apparel"", ""Men's"", ""Sportswear"", ""Casual"", ""Nylon Ripstop"", ""Mesh"", ""Convertible"", ""Sun Protection"", ""UPF 50"", ""Omni-Wick"", ""Omni-Shade""]","Cascades Explorer Convertible Pant

Brand: Columbia
Category: Apparel > Men's
Product Type: Sportswear
Sport: Casual

FROM PANT TO SHORT These pants are the ultimate versatile outdoor wear: With one zip, go from pants to shorts in no time. STAY DRY, STAY SHADED Made of nylon ripstop with advanced wicking fabric and UPF 50, these pants keep you cool and dry. UTILITY These durable pants (or shorts) are ready for your adventures with plenty of pockets for odds and ends. Omni-Wick Omni-Shade UPF 50 sun protection Partial elastic at waist Gusset detail Pockets with hook and loop closure Zip-closed security pocket Mesh pocket bags Converts to 10"" inseam shorts Uses: Hiking Imported

Materials:
Nylon Ripstop
Mesh

Features:
Convertible
Sun Protection
UPF 50
Omni-Wick
Omni-Shade

Tags:
Casual Lifestyle
Columbia
Men
Pants
Pants and Shorts
Columbia Sale
Apparel
Men's
Sportswear
Casual
Nylon Ripstop
Mesh
Convertible
Sun Protection
UPF 50
Omni-Wick
Omni-Shade",[]
F000006,Omni-Shield 6P FRP Dome Tent,"STRAIGHT WALL DESIGN Straighter walls mean more internal space and higher ceilings for you. The 11' x 9' floor plan with a 72"" center height fits 6 campers, or one queen air mattresses MAGNETIC DOOR CLOSURE Magnetic zipper cuff (in addition to full zippers) on the tent door give you the open to go in and out without the hassel of zippers. EXTRA COMFORT Mesh walls, doors, and windows help keep even the smallest insects out of your tent and promotes air flow on warmer days WATER-REPELLENT Omni-Shield coated fabric provides advanced repellency against water and stains. Omni-Shield fabric dries 3-5 times faster than untreated fabric, meaning it stays lighter even when it's wet. Omni-Shield™ advanced repellency Above ground storage pocket Magnetic Zipper Cuff Overall Size: 132"" L x 72"" H x 108"" W Weight: 21.56 lbs Uses: Camping Imported",Bags & Gear,Men's,Equipment,Hiking,"[""Blue""]","[""One Size""]","[""Mesh""]","[""Omni-Shield"", ""Water-Repellent""]",310.99,310.99,9895689060631,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50053-486_1.jpg?v=1743238857,"[""Camping and Safari"", ""Equipment"", ""Hiking and Trekking"", ""Men"", ""Out of stock"", ""Tent"", ""Women"", ""Bags & Gear"", ""Men's"", ""Hiking"", ""Mesh"", ""Omni-Shield"", ""Water-Repellent""]","Omni-Shield 6P FRP Dome Tent

Brand: Columbia
Category: Bags & Gear > Men's
Product Type: Equipment
Sport: Hiking

STRAIGHT WALL DESIGN Straighter walls mean more internal space and higher ceilings for you. The 11' x 9' floor plan with a 72"" center height fits 6 campers, or one queen air mattresses MAGNETIC DOOR CLOSURE Magnetic zipper cuff (in addition to full zippers) on the tent door give you the open to go in and out without the hassel of zippers. EXTRA COMFORT Mesh walls, doors, and windows help keep even the smallest insects out of your tent and promotes air flow on warmer days WATER-REPELLENT Omni-Shield coated fabric provides advanced repellency against water and stains. Omni-Shield fabric dries 3-5 times faster than untreated fabric, meaning it stays lighter even when it's wet. Omni-Shield™ advanced repellency Above ground storage pocket Magnetic Zipper Cuff Overall Size: 132"" L x 72"" H x 108"" W Weight: 21.56 lbs Uses: Camping Imported

Materials:
Mesh

Features:
Omni-Shield
Water-Repellent

Tags:
Camping and Safari
Equipment
Hiking and Trekking
Men
Out of stock
Tent
Women
Bags & Gear
Men's
Hiking
Mesh
Omni-Shield
Water-Repellent",[]
F000007,250 Lumen Flashlight,"ADVENTURE READY With a steel pocket clip and impact-resistant design, this 250-lumen flashlight is ready for adventure. Duracell battery included Quick-press switch High and strobe modes Steel pocket clip Lifetime LEDs Impact and water resistant Uses: Camping Imported Prop 65 Warning For CA Consumers",,Men's,Equipment,Hiking,"[""Grey""]","[""One Size""]",[],"[""Water Resistant""]",47.99,47.99,9895688798487,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/20719-082_1.jpg?v=1747254650,"[""Camping and Safari"", ""Equipment"", ""Hiking and Trekking"", ""Lighting"", ""Men"", ""Women"", ""Men's"", ""Hiking"", ""Water Resistant""]","250 Lumen Flashlight

Brand: Columbia
Category: Men's
Product Type: Equipment
Sport: Hiking

ADVENTURE READY With a steel pocket clip and impact-resistant design, this 250-lumen flashlight is ready for adventure. Duracell battery included Quick-press switch High and strobe modes Steel pocket clip Lifetime LEDs Impact and water resistant Uses: Camping Imported Prop 65 Warning For CA Consumers

Features:
Water Resistant

Tags:
Camping and Safari
Equipment
Hiking and Trekking
Lighting
Men
Women
Men's
Hiking
Water Resistant",[]
F000008,3D 750L Lantern,,,Men's,Equipment,Hiking,"[""Grey""]","[""One Size""]",[],[],48.99,48.99,9895688929559,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50021-082_1.jpg?v=1743238860,"[""Camping and Safari"", ""Equipment"", ""Hiking and Trekking"", ""Lighting"", ""Men"", ""Women"", ""Men's"", ""Hiking""]","3D 750L Lantern

Brand: Columbia
Category: Men's
Product Type: Equipment
Sport: Hiking

Tags:
Camping and Safari
Equipment
Hiking and Trekking
Lighting
Men
Women
Men's
Hiking",[]
F000009,Rechargeable 750L Lantern,,,Men's,Equipment,Hiking,"[""Grey""]","[""One Size""]",[],"[""Rechargeable""]",84.99,84.99,9895688995095,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50022-082_1.jpg?v=1743238860,"[""Camping and Safari"", ""Equipment"", ""Hiking and Trekking"", ""Lighting"", ""Men"", ""Women"", ""Men's"", ""Hiking"", ""Rechargeable""]","Rechargeable 750L Lantern

Brand: Columbia
Category: Men's
Product Type: Equipment
Sport: Hiking

Features:
Rechargeable

Tags:
Camping and Safari
Equipment
Hiking and Trekking
Lighting
Men
Women
Men's
Hiking
Rechargeable",[]
F000010,Triple Canyon Fall Hiking Pant,"Equipped with repellent technology and UPF 50 sun protection, these hiking trousers will keep you protected, comfortable and dry on every hike. Enjoy the flexibility of a comfort stretch fabric that supports you on the move. You can store all your hiking essentials in the secure zip-closed pocket.",Apparel,Men's,Sportswear,Hiking,"[""Black"", ""Grey"", ""Navy Blue""]","[""28"", ""30"", ""32"", ""34"", ""36"", ""38""]",[],"[""Sun Protection"", ""UPF 50"", ""Stretch"", ""Omni-Shield""]",76.99,95.99,9895689617687,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AE0054-010_1.jpg?v=1743238849,"[""Columbia"", ""Men"", ""Pants"", ""Pants and Shorts"", ""Winter Sports"", ""Columbia Sale"", ""Apparel"", ""Men's"", ""Sportswear"", ""Hiking"", ""Sun Protection"", ""UPF 50"", ""Stretch"", ""Omni-Shield""]","Triple Canyon Fall Hiking Pant

Brand: Columbia
Category: Apparel > Men's
Product Type: Sportswear
Sport: Hiking

Equipped with repellent technology and UPF 50 sun protection, these hiking trousers will keep you protected, comfortable and dry on every hike. Enjoy the flexibility of a comfort stretch fabric that supports you on the move. You can store all your hiking essentials in the secure zip-closed pocket.

Features:
Sun Protection
UPF 50
Stretch
Omni-Shield

Tags:
Columbia
Men
Pants
Pants and Shorts
Winter Sports
Columbia Sale
Apparel
Men's
Sportswear
Hiking
Sun Protection
UPF 50
Stretch
Omni-Shield",[]
